SKU Variacao;SKU Pai;Nome do produto;Categoria;Subcategoria;Descricao curta;Descricao completa;Unidade de venda;Qtd por embalagem;Marca;URL da imagem;Status;Estoque
84518000/6;84518000;Conj Mopinho(balde C/esp+cabo Alum+ Refil C/rosca;Utensílios de Limpeza;Baldes;Produto profissional;;Barrica (5L);1;;;Inativo;0
84518000/7;84518000;Conj Mop Umido(carro Doblo+refil+c.manopla+presil;Outros;Outros;Produto profissional;;Unidade;1;;;Inativo;0
84729040/1;84729040;Extrator De Grampos;Outros;Outros;Produto profissional;;Unidade;1;Japan;;Ativo;27
84729040/2;84729040;Grampeador De Mesa 26/6 P/25fls;Outros;Outros;Produto profissional;;Unidade;1;Maped;;Inativo;0
85234029/1;85234029;Cd-rw 80min 700mb;Outros;Outros;Produto profissional;;Unidade;1;Maxprint;;Inativo;0
85393100/01;85393100;Lampada Fluor.14w Peq 127v;Outros;Outros;Produto profissional;;Unidade;1;Philips;;Inativo;0
85393100/02;85393100;Lampada Fluor.tripla 20w 127v;Outros;Outros;Produto profissional;;Unidade;1;Avant;;Ativo;4
90172000/1;90172000;Regua Cristal 30cm;Outros;Outros;Produto profissional;;Unidade;1;Bandeirante;;Ativo;17
94018000/1;94018000;Cadeira Plast S/brraço 92013;Outros;Outros;Produto profissional;;Unidade;1;Tramontina;;Inativo;0
94018000/2;94018000;Cadeira Caixa Secretaria,em Tecido S/braço-frisoka;Outros;Outros;Produto profissional;;Unidade;1;;;Inativo;0
94018000/3;94018000;Cadeira Executiva, Giratoria, C/ Braço Em Tecido;Outros;Outros;Produto profissional;;Unidade;1;;;Inativo;0
94037000/1;94037000;Mesa Quadrada Tambau Cod 92314;Outros;Outros;Produto profissional;;Unidade;1;Tramontina;;Inativo;0
94037000/2;94037000;Mesa Poliet Retang C/pes Dobraveis C243xl75xa74;Outros;Outros;Produto profissional;;Unidade;1;;;Inativo;0
96039000/01;96039000;Armaçao Euro 80cm;Outros;Outros;Produto profissional;;Unidade;1;Bralimpia;;Ativo;11
96039000/02;96039000;Cabo Aluminio C/manopla 1,40m;Produtos de Limpeza;Limpa Alumínio;Produto profissional;;Unidade;1;Nobre;;Inativo;0
96039000/03;96039000;Pa Sem Cabo;Outros;Outros;Produto profissional;;Unidade;1;Bettanin;;Inativo;0
96039000/04;96039000;Vassoura Pelo Varry 1000 (9003c);Utensílios de Limpeza;Vassouras;Uso interno, cerdas macias;;Unidade;1;Bettanin;;Ativo;15
96081000/1;96081000;Caneta Cristal Fina Azul;Outros;Outros;Produto profissional;;Unidade;1;Bic;;Ativo;7
96081000/2;96081000;Caneta Cristal Fina Verm;Outros;Outros;Produto profissional;;Unidade;1;Bic;;Ativo;38
96081000/3;96081000;Lapis Preto Nr.02;Outros;Outros;Produto profissional;;Unidade;1;Axe;;Ativo;108
96082000/1;96082000;Marcador P/quadro Bco Azul/verm E Pto CX C/12-bic;Outros;Outros;Produto profissional;;Caixa;1;;;Inativo;0
96082000/2;96082000;Marca Texto( Am, Az, Vd E Rz);Outros;Outros;Produto profissional;;Unidade;1;;;Ativo;43
96082000/3;96082000;Caneta Cristal Fina Pta;Outros;Outros;Produto profissional;;Unidade;1;Bic;;Ativo;174
96084000/1;96084000;Lapiseira Grafite 0,7;Outros;Outros;Produto profissional;;Unidade;1;Mercur;;Inativo;0
96092000/1;96092000;Mina Grafite 0.7mm C/12un;Outros;Outros;Produto profissional;;Caixa;12;Leonora;;Ativo;46
96122000/1;96122000;Almofada P/carimbo Azul;Outros;Outros;Produto profissional;;Unidade;1;Japan;;Ativo;11
